solution,location,result,source
Cool roofs (reflective coatings),Ahmedabad India,"Indoor temperature reduced 2–5°C; energy savings 20–40%",NRDC Cool Roofs Toolkit 2023 / Berkeley Lab
Cool roofs (white/reflective),Global meta-analysis,"Peak cooling demand reduced 10–40%; surface temperature drop 20–30°C",Akbari et al. 2012 / Energy and Buildings
Green corridors,Medellin Colombia,"2°C ambient temperature reduction; biodiversity increase 30%",C40 Cities / Medellin Green Corridors 2023
Heat Action Plans (HAP),Ahmedabad India,"1190 fewer deaths per year; model replicated to 23 Indian states",NRDC / Ahmedabad Municipal Corporation
Heat Action Plans,Europe (continent-wide),"80% reduction in heat mortality vs. comparable pre-plan heatwaves",Lancet Countdown Europe 2024
Early warning systems,Global (48 countries),"50% mortality reduction when warnings issued 24–48h ahead",WMO Early Warnings for All 2024
Cooling shelters / refuges,Barcelona Spain,"368 public cooling refuges; 250K visits in peak 2023 heat",Barcelona Climate Plan 2024
Urban tree canopy expansion,Multiple cities,"Each 10% canopy increase → 1.2°C ambient cooling",Ziter et al. 2019 / PNAS
Water misting systems,Doha Qatar,"6–8°C cooling in outdoor pedestrian zones",Qatar Supreme Committee / FIFA World Cup evaluation
School heat adaptation curricula,Bangladesh pilot,"21% improvement in knowledge scores; 34% increase in household heat safety",UNICEF Bangladesh / Save the Children 2024
Permeable pavements,Los Angeles USA,"5–7°C surface temperature reduction vs. traditional asphalt",UCLA Heat Island Group / CoolSeal evaluation
Night cooling protocols (hospitals),India multi-state,"18% reduction in heat-related hospital admissions",PHFI / WHO India Heat-Health Action 2024
